City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,76,NZ,1603765376,62,-46.19,168.86,57.99,5.99
ribeira grande,100,PT,1603765376,91,38.52,-28.7,68.49,13.47
katsuura,75,JP,1603765308,59,35.13,140.3,66.99,11.41
vaini,75,TO,1603765262,94,-21.2,-175.2,73.4,9.17
burns lake,100,CA,1603765377,84,54.23,-125.75,42.96,11.99
djambala,100,CG,1603765377,96,-2.54,14.75,67.5,3.53
busselton,69,AU,1603765292,61,-33.65,115.33,70.0,5.99
minas,0,UY,1603765378,66,-34.38,-55.24,55.4,10.29
punta arenas,20,CL,1603765378,75,-53.15,-70.92,44.01,14.99
tiksi,98,RU,1603765325,94,71.69,128.87,6.37,5.14
victoria,32,HK,1603765378,58,22.29,114.16,80.01,3.0
aksarka,18,RU,1603765378,94,66.56,67.8,2.43,4.92
fortuna,1,US,1603765379,70,40.6,-124.16,52.0,4.21
pisco,0,PE,1603765379,82,-13.7,-76.22,63.0,12.75
cape town,0,ZA,1603765379,93,-33.93,18.42,61.0,5.82
bengkulu,100,ID,1603765379,70,-3.8,102.27,80.47,1.07
at-bashi,0,KG,1603765380,72,41.17,75.81,34.12,2.57
esperance,0,AU,1603765246,60,-33.87,121.9,71.6,3.36
port alfred,85,ZA,1603765261,86,-33.59,26.89,67.42,25.66
hobart,75,AU,1603765213,54,-42.88,147.33,59.0,10.29
sitka,90,US,1603765381,81,57.05,-135.33,50.0,10.29
new norfolk,88,AU,1603765381,50,-42.78,147.06,59.0,4.0
kashi,0,CN,1603765381,33,39.45,75.98,46.4,6.71
laguna,1,US,1603765350,8,38.42,-121.42,68.0,12.75
lebu,100,CL,1603765305,87,-37.62,-73.65,50.99,7.47
ushuaia,20,AR,1603765261,39,-54.8,-68.3,48.2,18.34
bluff,21,NZ,1603765296,62,-46.6,168.33,57.99,5.99
lorengau,79,PG,1603765382,76,-2.02,147.27,82.69,3.62
manzanillo,99,CU,1603765382,81,20.34,-77.12,78.08,3.44
georgetown,20,MY,1603765382,83,5.41,100.34,84.2,3.36
waipawa,100,NZ,1603765383,93,-41.41,175.52,51.8,25.28
leiderdorp,35,NL,1603765383,92,52.16,4.54,48.99,5.01
